FuncNo #	Description
7501	Configures Wi-Fi hotspot.
7600	Gets firewall settings.
7601	Configures firewall.
7700	Gets VPN settings.
7701	Configures VPN.
7800	Gets port forwarding settings.
7801	Configures port forwarding.
7900	Gets DMZ settings.
7901	Configures DMZ.
8000	Gets dynamic DNS settings.
8001	Configures dynamic DNS.
8100	Gets UPnP settings.
8101	Enables or disables UPnP.
8200	Gets network service settings.
8201	Configures network service.
8300	Gets the web server settings.
8301	Configures the web server.
8400	Gets the system settings.
8401	Configures the system.
8500	Gets the parental control settings.
8501	Configures the parental control.
8600	Gets the guest network settings.
8601	Configures the guest network.
8700	Gets the MAC filtering settings.
8701	Configures the MAC filtering.
8800	Gets the remote management settings.
8801	Configures the remote management.
8900	Gets the firmware upgrade settings.
8901	Configures the firmware upgrade.
9000	Gets the scheduled reboot settings.
9001	Configures the scheduled reboot.
9100	Gets the power saving mode settings.
9101	Configures the power saving mode.
9200	Gets the screen brightness settings.
9201	Configures the screen brightness.
9300	Gets the screen timeout settings.
9301	Configures the screen timeout.
9400	Gets the auto-rotate screen settings.
9401	Enables or disables auto-rotate screen.
9500	Gets the airplane mode settings.
9501	Enables or disables airplane mode.
9600	Gets the Bluetooth settings.
9601	Enables or disables Bluetooth.
9700	Gets the location settings.
9701	Enables or disables location.
9800	Gets the security settings.
9801	Configures security.
9900	Gets the accounts settings.
9901	Configures accounts.
9999	Gets the device settings and version information.
10000	Gets the USB tethering settings.
10100	Gets the USB mass storage settings.
10101	Enables or disables USB mass storage.
10200	Gets the USB debugging settings.
10201	Enables or disables USB debugging.
10300	Gets the USB tethering mode settings.
10301	Configures the USB tethering mode.
10400	Gets the USB tethering settings.
10401	Enables or disables USB tethering.
10500	Gets the audio settings.
10501	Configures the audio.
10600	Gets the display settings.
10601	Configures the display.
10700	Gets the location settings.
10701	Configures the location.
10800	Gets security settings.
10801	Configures security.
10900	Gets application settings.
10901	Configures applications.
11000	Gets accounts settings.
11001	Configures accounts.
11100	Gets language and input settings.
11101	Configures language and input.
11200	Gets backup and reset settings.
11201	Configures backup and reset.
11300	Gets date and time settings.
11301	Configures date and time.
11400	Gets accessibility settings.
11401	Configures accessibility.
11500	Gets printing settings.
11501	Configures printing.
11600	Gets mobile network settings.
11601	Configures mobile network.
11700	Gets Wi-Fi hotspot settings.
11701	Configures Wi-Fi hotspot.
11800	Gets Bluetooth settings.
11801	Configures Bluetooth.
11900	Gets VPN settings.
11901	Configures VPN.
12000	Gets port forwarding settings.
12001	Configures port forwarding.
12100	Gets DMZ settings.
12101	Configures DMZ.
12200	Gets dynamic DNS settings.
12201	Configures Dynamic DNS.
12300	Gets UPnP settings.
12301	Enables or disables UPnP.
12400	Gets Network Service settings.
12401	Configures Network Service.
12500	Gets Web Server settings.
12501	Configures Web Server.
12600	Gets System settings.
12601	Configures System.
12700	Gets Parental Control settings.
12701	Configures Parental Control.
12800	Gets Guest Network settings.
12801	Configures Guest Network.
12900	Gets MAC Filtering settings.
12901	Configures MAC Filtering.
13000	Gets Remote Management settings.
13001	Configures Remote Management.
13100	Gets Firmware Update settings.
13101	Configures Firmware Update.
13200	Gets Scheduled Reboot settings.
13201	Configures Scheduled Reboot.
13300	Gets Power Saving Mode settings.
13301	Sets power saving mode.
13400	Gets data-only mode settings.
13401	Enables or disables data-only mode.
13500	Gets home screen settings.
13501	Sets home screen settings.
13600	Gets screen saver settings.
13601	Sets screen saver.
13700	Gets Wi-Fi auto-connect settings.
13701	Enables or disables Wi-Fi auto-connect.
13800	Gets band selection mode settings.
13801	Sets band selection mode.
13900	Gets 2.4G Wi-Fi network settings.
13901	Enables or disables 2.4G Wi-Fi network.
14000	Gets 5G Wi-Fi network settings.
14001	Enables or disables 5G Wi-Fi network.
14100	Gets Wi-Fi sleep mode settings.
14101	Sets Wi-Fi sleep mode.
14200	Gets WPS settings.
14201	Enables or disables WPS.
14300	Gets the time zone settings.
14301	Sets the time zone.
14400	Gets the time format settings.
14401	Sets the time format.
14500	Gets the SIM card lock settings.
14501	Sets the SIM card lock with a PIN.
14600	Gets the call forwarding settings.
14601	Sets the call forwarding.
14700	Gets the voicemail settings.
14701	Sets the voicemail.
14800	Gets the notification settings.
14801	Sets the notifications.
14900	Gets the display settings.
14901	Sets the display.
15000	Gets the security settings.
15001	Sets the security.
15100	Gets the application settings.
15101	Sets the application.
15200	Gets the account settings.
15201	Sets the account.
15300	Gets the accessibility settings.
15301	Sets the accessibility.
15400	Gets the storage settings.
15401	Sets the storage.
15500	Gets the language settings.
15501	Sets the language.
15600	Gets the backup settings.
15601	Sets the backup.
15700	Gets the date and time settings.
15701	Sets the date and time.
15800	Gets GPS settings.
15801	Configures GPS.
15900	Gets print settings.
15901	Configures printing.
16000	Sends an SMS message.
16001	Gets the list of SMS messages.
16002	Deletes an SMS message.
16100	Gets the time zone settings.
16101	Set the time zone.
16200	Get the time format settings.
16201	Set the time format.
16300	Get the SIM card lock settings.
16301	Set the SIM card lock with a PIN.
16400	Get the call forwarding settings.
16401	Set the call forwarding.
16500	Get the voicemail settings.
16501	Set the voicemail.
16600	Get the notification settings.
16601	Set the notifications.
16700	Get the GPS settings.
16701	Set the GPS.
16800	Get the printing settings.
16801	Set the printing.
16900	Get the battery settings.
16901	Show or hide the battery percentage in the status bar.
17000	Get the power saving mode settings.
17001	Set the power saving mode.
17100	Get the screen brightness settings.
17101	Set the screen brightness.
17200	Get the screen timeout settings.
17201	Set the screen timeout.
17300	Get the screen auto-rotation settings.
17301	Enable or disable screen auto-rotation.
17400	Gets airplane mode settings.
17401	Enables or disables airplane mode.
17500	Gets Bluetooth settings.
17501	Enables or disables Bluetooth.
17600	Gets location settings.
17601	Enables or disables location.
17700	Gets security settings.
17701	Configures security.
17800	Gets application settings.
17801	Configures applications.
17900	Gets accounts settings.
17901	Configures accounts.
18000	Gets accessibility settings.
18001	Configures accessibility.
18100	Gets storage settings.
18101	Configures storage.
18200	Gets language settings.
18201	Configures language.
18300	Gets backup and reset settings.
18301	Configures backup and reset.
18400	Gets date and time settings.
18401	Configures date and time.
18500	Gets mobile network settings.
18501	Configures mobile network.
18600	Gets Wi-Fi hotspot settings.
18601	Configures Wi-Fi hotspot.
18700	Gets Bluetooth settings.
18701	Configures Bluetooth.
18800	Gets VPN settings.
18801	Configures VPN.
18900	Gets port forwarding settings.
18901	Configures port forwarding.
19000	Gets DMZ settings.
19001	Configures DMZ.
19100	Gets Dynamic DNS settings.
19101	Configures Dynamic DNS.
19200	Gets UPnP settings.
19201	Enables or disables UPnP.
19300	Gets network service settings.
19301	Configures network service.
19400	Gets web server settings.
19401	Configures web server.
19500	Gets system settings.
19501	Configures system.
19600	Gets parental control settings.
19601	Configures parental control.
19700	Gets guest network settings.
19701	Configures guest network.
19800	Gets MAC filtering settings.
19801	Configures MAC filtering.
19900	Gets remote management settings.
19901	Configures remote management.
20000	Gets firmware upgrade settings.
